Date,Time,Timezone,STATUS,QSDELAY,DTEMF,LTEMF,overload,ROOF_STATUS
2026-01-22,10:33:40,+07,0,220,28.8,22.4,False,OFF
2026-01-22,10:33:42,+07,0,220,28.8,28.7,False,OFF
2026-01-22,10:33:44,+07,0,220,22.5,28.7,False,OFF
2026-01-22,10:33:46,+07,0,220,40.0,28.7,False,OFF
2026-01-22,10:33:48,+07,0,220,28.7,28.7,False,OFF
2026-01-22,10:33:50,+07,0,220,28.7,28.7,False,OFF
2026-01-22,10:33:52,+07,0,220,40.0,28.7,False,OFF
2026-01-22,10:33:54,+07,0,220,28.8,28.7,False,OFF
2026-01-22,10:33:56,+07,0,220,40.0,28.7,False,OFF
2026-01-22,10:33:58,+07,0,220,28.7,28.7,False,OFF
2026-01-22,10:34:01,+07,0,220,22.4,28.7,False,OFF
2026-01-22,10:34:03,+07,0,220,28.7,28.7,False,OFF
2026-01-22,10:34:05,+07,0,220,28.7,28.7,False,OFF
2026-01-22,10:34:07,+07,0,220,40.0,28.7,False,OFF
2026-01-22,10:34:09,+07,0,220,22.4,28.7,False,OFF
2026-01-22,10:34:11,+07,0,220,40.0,28.7,False,OFF
2026-01-22,10:34:13,+07,0,220,40.0,28.7,False,OFF
2026-01-22,10:34:15,+07,0,220,22.4,28.7,False,OFF
2026-01-22,10:34:17,+07,0,220,40.0,28.7,False,OFF
2026-01-22,10:34:19,+07,0,220,40.0,28.7,False,OFF
2026-01-22,10:34:21,+07,0,220,40.0,28.7,False,OFF
2026-01-22,10:34:23,+07,0,220,28.7,28.7,False,OFF
2026-01-22,10:34:25,+07,0,220,28.7,22.4,False,OFF
2026-01-22,10:34:27,+07,0,220,28.7,22.4,False,OFF
2026-01-22,10:34:29,+07,0,220,22.5,28.7,False,OFF
2026-01-22,10:34:31,+07,0,220,22.5,28.7,False,OFF
2026-01-22,10:34:33,+07,0,220,28.7,28.7,False,OFF
2026-01-22,10:34:35,+07,0,220,28.7,28.7,False,OFF
2026-01-22,10:34:37,+07,0,220,40.0,28.7,False,OFF
2026-01-22,10:34:39,+07,0,220,28.7,28.7,False,OFF
2026-01-22,10:34:41,+07,0,220,40.0,28.7,False,OFF
2026-01-22,10:34:43,+07,0,220,28.6,28.7,False,OFF
2026-01-22,10:34:45,+07,0,220,40.0,28.7,False,OFF
2026-01-22,10:34:47,+07,0,220,28.6,28.7,False,OFF
2026-01-22,10:34:50,+07,0,220,28.6,28.7,False,OFF
2026-01-22,10:34:52,+07,0,220,40.0,28.7,False,OFF
2026-01-22,10:34:54,+07,0,220,28.6,28.7,False,OFF
2026-01-22,10:34:56,+07,0,220,40.0,28.7,False,OFF
2026-01-22,10:34:58,+07,0,220,28.7,28.7,False,OFF
2026-01-22,10:35:01,+07,0,220,40.0,28.6,False,OFF
2026-01-22,10:35:03,+07,0,220,40.0,28.6,False,OFF
2026-01-22,10:35:05,+07,0,220,22.4,28.6,False,OFF
2026-01-22,10:35:07,+07,0,220,40.0,28.6,False,OFF
2026-01-22,10:35:09,+07,0,220,28.7,28.6,False,OFF
2026-01-22,10:35:11,+07,0,220,40.0,28.6,False,OFF
2026-01-22,10:35:13,+07,0,220,28.6,28.6,False,OFF
2026-01-22,10:35:15,+07,0,220,28.6,28.6,False,OFF
2026-01-22,10:35:17,+07,0,220,40.0,28.6,False,OFF
2026-01-22,10:35:19,+07,0,220,28.7,28.7,False,OFF
