Date,Time,Timezone,STATUS,QSDELAY,DTEMF,LTEMF,overload,ROOF_STATUS
2026-01-22,00:35:02,+07,1,220,,,False,OFF
2026-01-22,00:35:04,+07,0,220,27.1,,False,OFF
2026-01-22,00:35:06,+07,0,220,40.0,,False,OFF
2026-01-22,00:35:08,+07,0,220,26.9,26.9,False,OFF
2026-01-22,00:35:10,+07,0,220,40.0,26.9,False,OFF
2026-01-22,00:35:12,+07,0,220,26.8,26.9,False,OFF
2026-01-22,00:35:14,+07,0,220,26.8,26.8,False,OFF
2026-01-22,00:35:16,+07,0,220,40.0,26.8,False,OFF
2026-01-22,00:35:18,+07,0,220,26.8,26.8,False,OFF
2026-01-22,00:35:20,+07,0,220,40.0,26.8,False,OFF
2026-01-22,00:35:22,+07,0,220,26.8,27.0,False,OFF
2026-01-22,00:35:24,+07,0,220,26.8,26.8,False,OFF
2026-01-22,00:35:26,+07,0,220,40.0,26.8,False,OFF
2026-01-22,00:35:28,+07,0,220,26.8,26.8,False,OFF
2026-01-22,00:35:31,+07,0,220,26.8,26.8,False,OFF
2026-01-22,00:35:33,+07,0,220,27.0,26.8,False,OFF
2026-01-22,00:35:35,+07,0,220,40.0,26.8,False,OFF
2026-01-22,00:35:37,+07,0,220,26.8,26.8,False,OFF
2026-01-22,00:35:39,+07,0,220,26.8,26.8,False,OFF
2026-01-22,00:35:41,+07,0,220,40.0,26.8,False,OFF
2026-01-22,00:35:43,+07,0,220,40.0,26.8,False,OFF
2026-01-22,00:35:45,+07,0,220,40.0,26.8,False,OFF
2026-01-22,00:35:47,+07,0,220,40.0,26.8,False,OFF
2026-01-22,00:35:49,+07,0,220,27.0,26.8,False,OFF
2026-01-22,00:35:51,+07,0,220,40.0,26.8,False,OFF
2026-01-22,00:35:53,+07,0,220,27.0,26.8,False,OFF
2026-01-22,00:35:55,+07,0,220,40.0,26.8,False,OFF
2026-01-22,00:35:57,+07,0,220,26.8,26.8,False,OFF
2026-01-22,00:35:59,+07,0,220,26.8,26.8,False,OFF
2026-01-22,00:36:01,+07,0,220,26.8,26.8,False,OFF
2026-01-22,00:36:04,+07,0,220,26.9,26.9,False,OFF
2026-01-22,00:36:06,+07,0,220,40.0,26.9,False,OFF
2026-01-22,00:36:08,+07,0,220,26.9,26.9,False,OFF
2026-01-22,00:36:10,+07,0,220,26.9,26.9,False,OFF
2026-01-22,00:36:12,+07,0,220,40.0,26.9,False,OFF
2026-01-22,00:36:14,+07,0,220,40.0,26.9,False,OFF
2026-01-22,00:36:16,+07,0,220,40.0,26.9,False,OFF
2026-01-22,00:36:18,+07,0,220,26.9,26.9,False,OFF
2026-01-22,00:36:20,+07,0,220,26.9,26.9,False,OFF
