Date,Time,Timezone,STATUS,QSDELAY,DTEMF,LTEMF,overload
2025-10-30,15:08:17,UTC+07:00,0,220,80.0,32.5,False
2025-10-30,15:08:19,UTC+07:00,0,220,40.0,32.7,True
2025-10-30,15:08:22,UTC+07:00,0,220,32.6,18.6,False
2025-10-30,15:08:24,UTC+07:00,0,220,40.0,32.6,True
2025-10-30,15:08:26,UTC+07:00,0,220,40.0,32.6,True
2025-10-30,15:08:28,UTC+07:00,0,220,40.0,32.8,True
2025-10-30,15:08:30,UTC+07:00,0,220,32.8,18.6,False
2025-10-30,15:08:32,UTC+07:00,0,220,40.0,32.7,True
2025-10-30,15:08:34,UTC+07:00,0,220,32.6,18.4,False
2025-10-30,15:08:36,UTC+07:00,0,220,40.0,32.6,True
2025-10-30,15:08:38,UTC+07:00,0,220,40.0,32.7,True
2025-10-30,15:08:40,UTC+07:00,0,220,40.0,32.7,True
2025-10-30,15:08:42,UTC+07:00,0,220,40.0,32.7,True
2025-10-30,15:08:44,UTC+07:00,0,220,40.0,32.7,True
2025-10-30,15:08:46,UTC+07:00,0,220,40.0,32.7,True
2025-10-30,15:08:48,UTC+07:00,0,220,32.7,18.2,False
2025-10-30,15:08:50,UTC+07:00,0,220,40.0,18.2,False
2025-10-30,15:08:52,UTC+07:00,0,220,40.0,32.9,True
2025-10-30,15:08:54,UTC+07:00,0,220,32.8,18.3,False
