Date,Time,Timezone,STATUS,QSDELAY,DTEMF,LTEMF,overload
2025-10-30,15:22:24,UTC+07:00,0,220,,31.2,False
2025-10-30,15:22:26,UTC+07:00,0,220,40.0,31.2,False
2025-10-30,15:22:28,UTC+07:00,0,220,40.0,31.2,False
2025-10-30,15:22:30,UTC+07:00,0,220,40.0,31.2,False
2025-10-30,15:22:32,UTC+07:00,0,220,40.0,31.2,False
2025-10-30,15:22:34,UTC+07:00,0,220,40.0,31.4,False
2025-10-30,15:22:36,UTC+07:00,0,220,40.0,31.4,False
2025-10-30,15:22:38,UTC+07:00,0,220,40.0,31.4,False
2025-10-30,15:22:40,UTC+07:00,0,220,40.0,31.4,False
2025-10-30,15:22:42,UTC+07:00,0,220,40.0,31.4,False
2025-10-30,15:22:44,UTC+07:00,0,220,40.0,40.0,True
2025-10-30,15:22:46,UTC+07:00,0,220,40.0,31.5,False
2025-10-30,15:22:48,UTC+07:00,0,220,40.0,31.5,False
2025-10-30,15:22:50,UTC+07:00,0,220,40.0,31.5,False
2025-10-30,15:22:53,UTC+07:00,0,220,40.0,31.5,False
2025-10-30,15:22:55,UTC+07:00,0,220,40.0,31.5,False
2025-10-30,15:22:57,UTC+07:00,0,220,40.0,31.5,False
2025-10-30,15:22:59,UTC+07:00,0,220,40.0,31.5,False
2025-10-30,15:23:01,UTC+07:00,1,220,80.0,31.4,False
2025-10-30,15:23:03,UTC+07:00,1,220,80.0,31.4,False
2025-10-30,15:23:05,UTC+07:00,1,220,80.0,31.4,False
2025-10-30,15:23:07,UTC+07:00,1,220,80.0,31.4,False
2025-10-30,15:23:09,UTC+07:00,1,220,80.0,31.4,False
2025-10-30,15:23:11,UTC+07:00,1,220,80.0,31.4,False
2025-10-30,15:23:13,UTC+07:00,1,220,80.0,31.3,False
2025-10-30,15:23:15,UTC+07:00,1,220,80.0,31.3,False
2025-10-30,15:23:17,UTC+07:00,1,220,80.0,31.3,False
2025-10-30,15:23:19,UTC+07:00,1,220,80.0,31.3,False
2025-10-30,15:23:21,UTC+07:00,1,220,80.0,31.3,False
2025-10-30,15:23:23,UTC+07:00,1,220,80.0,31.3,False
2025-10-30,15:23:25,UTC+07:00,1,220,80.0,31.3,False
2025-10-30,15:23:27,UTC+07:00,1,220,80.0,31.3,False
2025-10-30,15:23:29,UTC+07:00,1,220,80.0,31.3,False
2025-10-30,15:23:31,UTC+07:00,1,220,80.0,31.4,False
