Date,Time,Timezone,STATUS,QSDELAY,DTEMF,LTEMF,overload
2025-10-30,15:27:50,UTC+07:00,1,220,80.0,,False
2025-10-30,15:27:52,UTC+07:00,1,220,80.0,,False
2025-10-30,15:27:54,UTC+07:00,1,220,40.0,,False
2025-10-30,15:27:56,UTC+07:00,1,220,40.0,31.2,False
2025-10-30,15:27:58,UTC+07:00,1,220,40.0,31.2,False
2025-10-30,15:28:00,UTC+07:00,1,220,40.0,31.3,False
2025-10-30,15:28:02,UTC+07:00,0,220,31.3,17.4,False
2025-10-30,15:28:04,UTC+07:00,0,220,31.3,17.4,False
2025-10-30,15:28:06,UTC+07:00,0,220,31.3,31.3,False
2025-10-30,15:28:08,UTC+07:00,0,220,40.0,31.3,False
2025-10-30,15:28:10,UTC+07:00,0,220,40.0,31.3,False
2025-10-30,15:28:12,UTC+07:00,0,220,40.0,31.3,False
2025-10-30,15:28:14,UTC+07:00,0,220,40.0,31.2,False
2025-10-30,15:28:17,UTC+07:00,1,220,40.0,31.1,False
2025-10-30,15:28:19,UTC+07:00,1,220,80.0,31.1,False
2025-10-30,15:28:21,UTC+07:00,1,220,80.0,31.1,False
2025-10-30,15:28:23,UTC+07:00,1,220,40.0,31.1,False
2025-10-30,15:28:25,UTC+07:00,1,220,40.0,31.3,False
2025-10-30,15:28:27,UTC+07:00,1,220,40.0,31.3,False
2025-10-30,15:28:29,UTC+07:00,1,220,40.0,31.1,False
2025-10-30,15:28:31,UTC+07:00,1,220,40.0,31.1,False
2025-10-30,15:28:33,UTC+07:00,1,220,40.0,31.1,False
2025-10-30,15:28:35,UTC+07:00,1,220,40.0,31.1,False
2025-10-30,15:28:37,UTC+07:00,1,220,40.0,31.1,False
2025-10-30,15:28:39,UTC+07:00,1,220,40.0,31.1,False
2025-10-30,15:28:41,UTC+07:00,1,220,40.0,31.1,False
2025-10-30,15:28:43,UTC+07:00,0,220,40.0,30.9,False
2025-10-30,15:28:45,UTC+07:00,0,220,40.0,31.0,False
2025-10-30,15:28:47,UTC+07:00,0,220,40.0,31.0,False
2025-10-30,15:28:49,UTC+07:00,0,220,40.0,31.0,False
2025-10-30,15:28:51,UTC+07:00,0,220,40.0,31.0,False
2025-10-30,15:28:53,UTC+07:00,0,220,40.0,31.0,False
2025-10-30,15:28:55,UTC+07:00,0,220,40.0,31.0,False
2025-10-30,15:28:57,UTC+07:00,0,220,40.0,31.0,False
2025-10-30,15:28:59,UTC+07:00,0,220,40.0,31.0,False
2025-10-30,15:29:01,UTC+07:00,0,220,40.0,31.0,False
2025-10-30,15:29:03,UTC+07:00,0,220,40.0,31.0,False
2025-10-30,15:29:05,UTC+07:00,0,220,40.0,31.0,False
2025-10-30,15:29:07,UTC+07:00,0,220,40.0,30.7,False
2025-10-30,15:29:09,UTC+07:00,0,220,40.0,30.7,False
2025-10-30,15:29:11,UTC+07:00,0,220,40.0,30.7,False
2025-10-30,15:29:13,UTC+07:00,0,220,40.0,30.6,False
2025-10-30,15:29:15,UTC+07:00,0,220,40.0,30.6,False
2025-10-30,15:29:17,UTC+07:00,0,220,40.0,30.6,False
2025-10-30,15:29:19,UTC+07:00,0,220,40.0,30.6,False
2025-10-30,15:29:21,UTC+07:00,0,220,40.0,30.6,False
2025-10-30,15:29:23,UTC+07:00,0,220,40.0,30.6,False
2025-10-30,15:29:25,UTC+07:00,0,220,40.0,30.6,False
2025-10-30,15:29:27,UTC+07:00,0,220,40.0,30.6,False
2025-10-30,15:29:29,UTC+07:00,0,220,40.0,30.6,False
2025-10-30,15:29:31,UTC+07:00,0,220,40.0,30.6,False
2025-10-30,15:29:33,UTC+07:00,0,220,40.0,30.6,False
2025-10-30,15:29:35,UTC+07:00,0,220,40.0,30.6,False
2025-10-30,15:29:37,UTC+07:00,0,220,40.0,30.6,False
2025-10-30,15:29:39,UTC+07:00,0,220,40.0,30.6,False
2025-10-30,15:29:41,UTC+07:00,0,220,40.0,30.6,False
2025-10-30,15:29:43,UTC+07:00,0,220,40.0,30.6,False
2025-10-30,15:29:45,UTC+07:00,0,220,40.0,30.6,False
2025-10-30,15:29:47,UTC+07:00,0,220,40.0,30.6,False
2025-10-30,15:29:49,UTC+07:00,0,220,40.0,30.6,False
2025-10-30,15:29:51,UTC+07:00,0,220,40.0,30.6,False
2025-10-30,15:29:53,UTC+07:00,0,220,40.0,30.6,False
2025-10-30,15:29:55,UTC+07:00,0,220,40.0,30.6,False
2025-10-30,15:29:57,UTC+07:00,0,220,40.0,30.6,False
2025-10-30,15:29:59,UTC+07:00,0,220,40.0,30.6,False
2025-10-30,15:30:01,UTC+07:00,0,220,40.0,30.6,False
2025-10-30,15:30:03,UTC+07:00,0,220,40.0,30.6,False
2025-10-30,15:30:05,UTC+07:00,0,220,40.0,30.6,False
2025-10-30,15:30:07,UTC+07:00,0,220,40.0,30.6,False
