Date,Time,Timezone,STATUS,QSDELAY,DTEMF,LTEMF,overload
2025-10-30,09:00:21,UTC+07:00,0,220,40.0,26.4,False
2025-10-30,09:00:23,UTC+07:00,0,220,26.5,26.4,False
2025-10-30,09:00:25,UTC+07:00,0,220,40.0,26.4,False
2025-10-30,09:00:27,UTC+07:00,0,220,40.0,26.4,False
2025-10-30,09:00:29,UTC+07:00,0,220,40.0,26.3,False
2025-10-30,09:00:31,UTC+07:00,0,220,26.2,28.2,False
2025-10-30,09:00:33,UTC+07:00,0,220,26.2,28.2,False
2025-10-30,09:00:35,UTC+07:00,0,220,40.0,28.2,False
2025-10-30,09:00:37,UTC+07:00,0,220,40.0,26.2,False
2025-10-30,09:00:39,UTC+07:00,0,220,40.0,26.2,False
2025-10-30,09:00:41,UTC+07:00,0,220,40.0,26.2,False
2025-10-30,09:00:43,UTC+07:00,0,220,40.0,26.2,False
2025-10-30,09:00:45,UTC+07:00,0,220,26.2,28.3,False
2025-10-30,09:00:47,UTC+07:00,0,220,40.0,26.1,False
2025-10-30,09:00:49,UTC+07:00,0,220,40.0,26.2,False
2025-10-30,09:00:51,UTC+07:00,0,220,40.0,26.3,False
2025-10-30,09:00:53,UTC+07:00,0,220,40.0,26.2,False
2025-10-30,09:00:56,UTC+07:00,0,220,40.0,26.2,False
2025-10-30,09:00:58,UTC+07:00,0,220,40.0,26.2,False
2025-10-30,09:01:01,UTC+07:00,1,220,80.0,26.2,False
2025-10-30,09:01:03,UTC+07:00,1,220,80.0,26.3,False
2025-10-30,09:01:05,UTC+07:00,1,220,80.0,26.4,False
2025-10-30,09:01:07,UTC+07:00,1,220,80.0,26.4,False
2025-10-30,09:01:09,UTC+07:00,1,220,80.0,26.5,False
2025-10-30,09:01:11,UTC+07:00,1,220,80.0,26.5,False
2025-10-30,09:01:13,UTC+07:00,1,220,80.0,26.5,False
2025-10-30,09:01:15,UTC+07:00,1,220,80.0,26.5,False
2025-10-30,09:01:17,UTC+07:00,1,220,80.0,26.5,False
2025-10-30,09:01:19,UTC+07:00,1,220,80.0,26.5,False
2025-10-30,09:01:21,UTC+07:00,1,220,80.0,26.2,False
2025-10-30,09:01:23,UTC+07:00,1,220,80.0,26.2,False
2025-10-30,09:01:25,UTC+07:00,1,220,80.0,26.2,False
2025-10-30,09:01:27,UTC+07:00,1,220,80.0,26.2,False
2025-10-30,09:01:29,UTC+07:00,1,220,80.0,26.2,False
2025-10-30,09:01:31,UTC+07:00,1,220,80.0,26.2,False
2025-10-30,09:01:33,UTC+07:00,1,220,80.0,26.2,False
2025-10-30,09:01:35,UTC+07:00,1,220,80.0,26.1,False
2025-10-30,09:01:37,UTC+07:00,1,220,80.0,26.0,False
2025-10-30,09:01:39,UTC+07:00,1,220,80.0,26.0,False
2025-10-30,09:01:41,UTC+07:00,1,220,80.0,26.0,False
