Date,Time,Timezone,STATUS,QSDELAY,DTEMF,LTEMF,overload
2025-10-30,15:11:15,UTC+07:00,0,220,,,False
2025-10-30,15:11:17,UTC+07:00,0,220,40.0,,False
2025-10-30,15:11:19,UTC+07:00,0,220,40.0,31.6,False
2025-10-30,15:11:21,UTC+07:00,0,220,40.0,31.6,False
2025-10-30,15:11:23,UTC+07:00,0,220,40.0,31.7,False
2025-10-30,15:11:25,UTC+07:00,0,220,31.7,31.7,False
2025-10-30,15:11:27,UTC+07:00,0,220,40.0,31.7,False
2025-10-30,15:11:29,UTC+07:00,0,220,40.0,31.7,False
2025-10-30,15:11:32,UTC+07:00,0,220,40.0,31.7,False
2025-10-30,15:11:34,UTC+07:00,0,220,40.0,40.0,True
2025-10-30,15:11:36,UTC+07:00,0,220,40.0,31.7,False
2025-10-30,15:11:38,UTC+07:00,0,220,40.0,31.7,False
2025-10-30,15:11:40,UTC+07:00,0,220,40.0,31.7,False
2025-10-30,15:11:42,UTC+07:00,0,220,40.0,31.6,False
2025-10-30,15:11:44,UTC+07:00,0,220,40.0,31.6,False
2025-10-30,15:11:46,UTC+07:00,0,220,40.0,31.6,False
2025-10-30,15:11:48,UTC+07:00,0,220,40.0,31.6,False
2025-10-30,15:11:50,UTC+07:00,0,220,40.0,31.6,False
2025-10-30,15:11:52,UTC+07:00,0,220,40.0,31.6,False
2025-10-30,15:11:54,UTC+07:00,0,220,40.0,31.6,False
2025-10-30,15:11:56,UTC+07:00,0,220,40.0,31.7,False
2025-10-30,15:11:58,UTC+07:00,0,220,40.0,31.7,False
2025-10-30,15:12:01,UTC+07:00,1,220,80.0,31.7,False
2025-10-30,15:12:03,UTC+07:00,1,220,80.0,31.7,False
2025-10-30,15:12:05,UTC+07:00,1,220,80.0,31.7,False
2025-10-30,15:12:07,UTC+07:00,1,220,80.0,31.6,False
2025-10-30,15:12:09,UTC+07:00,1,220,31.6,18.3,False
2025-10-30,15:12:11,UTC+07:00,1,220,80.0,18.3,False
2025-10-30,15:12:13,UTC+07:00,1,220,80.0,31.5,False
2025-10-30,15:12:15,UTC+07:00,1,220,31.7,31.5,False
