Date,Time,Timezone,STATUS,QSDELAY,DTEMF,LTEMF,overload
2025-10-30,10:20:25,UTC+07:00,0,220,40.0,25.1,False
2025-10-30,10:20:27,UTC+07:00,0,220,40.0,25.1,False
2025-10-30,10:20:29,UTC+07:00,0,220,40.0,25.0,False
2025-10-30,10:20:31,UTC+07:00,0,220,24.9,26.5,False
2025-10-30,10:20:33,UTC+07:00,0,220,40.0,26.5,False
2025-10-30,10:20:35,UTC+07:00,0,220,40.0,24.9,False
2025-10-30,10:20:37,UTC+07:00,0,220,40.0,24.8,False
2025-10-30,10:20:39,UTC+07:00,0,220,40.0,24.9,False
2025-10-30,10:20:41,UTC+07:00,0,220,40.0,24.9,False
2025-10-30,10:20:43,UTC+07:00,0,220,40.0,25.3,False
2025-10-30,10:20:45,UTC+07:00,0,220,40.0,25.2,False
2025-10-30,10:20:47,UTC+07:00,0,220,40.0,25.2,False
2025-10-30,10:20:49,UTC+07:00,0,220,40.0,25.0,False
2025-10-30,10:20:51,UTC+07:00,0,220,40.0,25.0,False
2025-10-30,10:20:53,UTC+07:00,0,220,40.0,25.0,False
2025-10-30,10:20:55,UTC+07:00,0,220,40.0,25.1,False
2025-10-30,10:20:57,UTC+07:00,0,220,40.0,25.0,False
2025-10-30,10:20:59,UTC+07:00,0,220,40.0,25.0,False
2025-10-30,10:21:01,UTC+07:00,1,220,80.0,25.0,False
2025-10-30,10:21:03,UTC+07:00,1,220,80.0,25.0,False
2025-10-30,10:21:05,UTC+07:00,1,220,80.0,25.1,False
