Date,Time,Timezone,STATUS,QSDELAY,DTEMF,LTEMF,overload,ROOF_STATUS
2026-01-13,14:14:34,+07,0,220,,,False,N/A
2026-01-13,14:14:36,+07,0,220,40.0,29.4,False,N/A
2026-01-13,14:14:38,+07,0,220,40.0,29.4,False,N/A
2026-01-13,14:14:40,+07,0,220,80.0,29.4,False,N/A
2026-01-13,14:14:42,+07,0,220,80.0,29.4,False,N/A
2026-01-13,14:14:44,+07,0,220,80.0,29.5,False,N/A
2026-01-13,14:14:46,+07,0,220,80.0,29.5,False,N/A
2026-01-13,14:14:48,+07,0,220,80.0,29.5,False,N/A
2026-01-13,14:14:50,+07,0,220,40.0,29.5,False,N/A
2026-01-13,14:14:52,+07,0,220,40.0,29.5,False,N/A
2026-01-13,14:14:54,+07,0,220,40.0,29.4,False,N/A
2026-01-13,14:14:56,+07,0,220,40.0,29.4,False,N/A
2026-01-13,14:14:58,+07,0,220,29.4,29.4,False,N/A
2026-01-13,14:15:01,+07,1,220,80.0,29.5,False,N/A
2026-01-13,14:15:03,+07,1,220,80.0,29.5,False,N/A
2026-01-13,14:15:05,+07,1,220,80.0,29.6,False,N/A
2026-01-13,14:15:07,+07,1,220,80.0,29.6,False,N/A
2026-01-13,14:15:09,+07,1,220,80.0,26.5,False,N/A
2026-01-13,14:15:11,+07,1,220,40.0,26.5,False,N/A
2026-01-13,14:15:13,+07,1,220,40.0,26.5,False,N/A
2026-01-13,14:15:15,+07,1,220,40.0,26.5,False,N/A
2026-01-13,14:15:17,+07,1,220,40.0,26.5,False,N/A
2026-01-13,14:15:20,+07,1,220,40.0,29.7,False,N/A
2026-01-13,14:15:22,+07,1,220,80.0,29.7,False,N/A
2026-01-13,14:15:24,+07,1,220,29.7,26.5,False,N/A
2026-01-13,14:15:26,+07,1,220,80.0,26.5,False,N/A
2026-01-13,14:15:28,+07,1,220,80.0,29.6,False,N/A
2026-01-13,14:15:30,+07,1,220,80.0,29.7,False,N/A
2026-01-13,14:15:32,+07,1,220,40.0,29.7,False,N/A
2026-01-13,14:15:34,+07,1,220,40.0,29.7,False,N/A
2026-01-13,14:15:36,+07,1,220,40.0,29.6,False,N/A
2026-01-13,14:15:38,+07,1,220,40.0,29.6,False,N/A
2026-01-13,14:15:40,+07,1,220,80.0,29.6,False,N/A
2026-01-13,14:15:42,+07,1,220,80.0,29.6,False,N/A
2026-01-13,14:15:44,+07,1,220,80.0,29.6,False,N/A
2026-01-13,14:15:46,+07,1,220,29.6,26.3,False,N/A
2026-01-13,14:15:48,+07,1,220,29.6,26.2,False,N/A
2026-01-13,14:15:50,+07,1,220,40.0,29.5,False,N/A
2026-01-13,14:15:52,+07,1,220,40.0,29.4,False,N/A
2026-01-13,14:15:54,+07,1,220,40.0,29.4,False,N/A
2026-01-13,14:15:56,+07,1,220,40.0,29.4,False,N/A
2026-01-13,14:15:58,+07,1,220,40.0,29.3,False,N/A
2026-01-13,14:16:01,+07,0,220,40.0,29.3,False,N/A
2026-01-13,14:16:03,+07,0,220,40.0,29.3,False,N/A
2026-01-13,14:16:05,+07,0,220,40.0,29.3,False,N/A
2026-01-13,14:16:07,+07,0,220,40.0,29.3,False,N/A
2026-01-13,14:16:09,+07,0,220,40.0,29.3,False,N/A
2026-01-13,14:16:11,+07,0,220,40.0,29.2,False,N/A
2026-01-13,14:16:13,+07,0,220,29.2,26.8,False,N/A
2026-01-13,14:16:15,+07,0,220,40.0,26.8,False,N/A
