Date,Time,Timezone,STATUS,QSDELAY,DTEMF,LTEMF,overload,ROOF_STATUS
2026-01-13,13:42:46,+07,0,220,,29.4,False,N/A
2026-01-13,13:42:48,+07,0,220,40.0,29.5,False,N/A
2026-01-13,13:42:50,+07,0,220,40.0,29.5,False,N/A
2026-01-13,13:42:52,+07,0,220,40.0,29.4,False,N/A
2026-01-13,13:42:54,+07,0,220,40.0,29.4,False,N/A
2026-01-13,13:42:56,+07,0,220,40.0,27.3,False,N/A
2026-01-13,13:42:58,+07,0,220,40.0,27.3,False,N/A
2026-01-13,13:43:00,+07,0,220,80.0,27.3,False,N/A
2026-01-13,13:43:02,+07,0,220,80.0,27.3,False,N/A
2026-01-13,13:43:04,+07,0,220,80.0,27.3,False,N/A
2026-01-13,13:43:06,+07,0,220,80.0,27.3,False,N/A
2026-01-13,13:43:08,+07,0,220,80.0,80.0,True,N/A
2026-01-13,13:43:10,+07,0,220,40.0,28.9,False,N/A
2026-01-13,13:43:12,+07,0,220,40.0,28.9,False,N/A
2026-01-13,13:43:14,+07,0,220,40.0,28.9,False,N/A
2026-01-13,13:43:16,+07,0,220,40.0,28.9,False,N/A
2026-01-13,13:43:18,+07,0,220,40.0,28.9,False,N/A
2026-01-13,13:43:20,+07,0,220,80.0,28.9,False,N/A
2026-01-13,13:43:22,+07,0,220,80.0,28.9,False,N/A
2026-01-13,13:43:25,+07,0,220,80.0,28.9,False,N/A
2026-01-13,13:43:27,+07,0,220,80.0,28.9,False,N/A
2026-01-13,13:43:29,+07,0,220,80.0,28.9,False,N/A
2026-01-13,13:43:31,+07,0,220,40.0,28.9,False,N/A
2026-01-13,13:43:33,+07,0,220,40.0,28.9,False,N/A
2026-01-13,13:43:35,+07,0,220,40.0,28.9,False,N/A
2026-01-13,13:43:37,+07,0,220,40.0,28.9,False,N/A
2026-01-13,13:43:39,+07,0,220,40.0,28.8,False,N/A
2026-01-13,13:43:41,+07,0,220,80.0,28.7,False,N/A
2026-01-13,13:43:43,+07,0,220,80.0,28.7,False,N/A
2026-01-13,13:43:45,+07,0,220,80.0,28.7,False,N/A
2026-01-13,13:43:47,+07,0,220,80.0,28.8,False,N/A
2026-01-13,13:43:49,+07,0,220,80.0,28.8,False,N/A
2026-01-13,13:43:51,+07,0,220,40.0,28.8,False,N/A
2026-01-13,13:43:53,+07,0,220,40.0,28.8,False,N/A
2026-01-13,13:43:55,+07,0,220,28.9,28.8,False,N/A
2026-01-13,13:43:57,+07,0,220,40.0,28.9,False,N/A
2026-01-13,13:43:59,+07,0,220,40.0,28.9,False,N/A
2026-01-13,13:44:01,+07,0,220,80.0,28.9,False,N/A
2026-01-13,13:44:03,+07,0,220,80.0,28.8,False,N/A
2026-01-13,13:44:05,+07,0,220,80.0,28.8,False,N/A
2026-01-13,13:44:07,+07,0,220,80.0,28.8,False,N/A
2026-01-13,13:44:09,+07,0,220,80.0,28.7,False,N/A
2026-01-13,13:44:11,+07,0,220,40.0,28.7,False,N/A
2026-01-13,13:44:13,+07,0,220,40.0,28.7,False,N/A
2026-01-13,13:44:15,+07,0,220,40.0,28.8,False,N/A
2026-01-13,13:44:17,+07,0,220,40.0,28.8,False,N/A
2026-01-13,13:44:19,+07,0,220,40.0,28.8,False,N/A
2026-01-13,13:44:21,+07,0,220,80.0,29.0,False,N/A
2026-01-13,13:44:23,+07,0,220,29.0,26.7,False,N/A
2026-01-13,13:44:25,+07,0,220,80.0,26.7,False,N/A
2026-01-13,13:44:27,+07,0,220,80.0,28.9,False,N/A
2026-01-13,13:44:29,+07,0,220,80.0,29.0,False,N/A
2026-01-13,13:44:31,+07,0,220,40.0,29.1,False,N/A
2026-01-13,13:44:33,+07,0,220,40.0,29.1,False,N/A
2026-01-13,13:44:35,+07,0,220,40.0,29.2,False,N/A
2026-01-13,13:44:37,+07,0,220,40.0,29.2,False,N/A
2026-01-13,13:44:39,+07,0,220,40.0,29.3,False,N/A
2026-01-13,13:44:41,+07,0,220,80.0,29.3,False,N/A
2026-01-13,13:44:43,+07,0,220,80.0,29.3,False,N/A
2026-01-13,13:44:45,+07,0,220,80.0,29.3,False,N/A
2026-01-13,13:44:47,+07,0,220,80.0,29.1,False,N/A
2026-01-13,13:44:49,+07,0,220,80.0,29.1,False,N/A
2026-01-13,13:44:51,+07,0,220,40.0,28.9,False,N/A
2026-01-13,13:44:53,+07,0,220,29.1,28.9,False,N/A
2026-01-13,13:44:55,+07,0,220,40.0,28.9,False,N/A
