Date,Time,Timezone,STATUS,QSDELAY,DTEMF,LTEMF,overload,ROOF_STATUS
2026-01-13,12:58:10,+07,1,220,40.0,33.4,True,N/A
2026-01-13,12:58:12,+07,1,220,40.0,33.2,True,N/A
2026-01-13,12:58:14,+07,1,220,33.2,25.6,False,N/A
2026-01-13,12:58:16,+07,1,220,40.0,33.1,True,N/A
2026-01-13,12:58:18,+07,1,220,40.0,33.1,True,N/A
2026-01-13,12:58:20,+07,1,220,80.0,33.3,True,N/A
2026-01-13,12:58:22,+07,1,220,80.0,33.3,True,N/A
2026-01-13,12:58:24,+07,1,220,80.0,33.3,True,N/A
2026-01-13,12:58:26,+07,1,220,80.0,33.4,True,N/A
2026-01-13,12:58:28,+07,1,220,80.0,33.4,True,N/A
2026-01-13,12:58:30,+07,1,220,40.0,33.4,True,N/A
2026-01-13,12:58:32,+07,1,220,40.0,33.3,True,N/A
2026-01-13,12:58:34,+07,1,220,33.2,33.3,True,N/A
2026-01-13,12:58:36,+07,1,220,40.0,33.3,True,N/A
2026-01-13,12:58:38,+07,1,220,33.5,25.3,False,N/A
2026-01-13,12:58:40,+07,1,220,33.4,25.4,False,N/A
2026-01-13,12:58:42,+07,1,220,33.4,25.4,False,N/A
2026-01-13,12:58:44,+07,1,220,33.4,25.4,False,N/A
2026-01-13,12:58:46,+07,1,220,80.0,33.4,True,N/A
