Date,Time,Timezone,STATUS,QSDELAY,DTEMF,LTEMF,overload,ROOF_STATUS
2026-01-13,12:59:14,+07,0,220,80.0,33.4,True,N/A
2026-01-13,12:59:16,+07,0,220,40.0,33.6,True,N/A
2026-01-13,12:59:16,+07,0,220,33.6,24.9,False,N/A
2026-01-13,12:59:18,+07,0,220,33.8,24.7,False,N/A
2026-01-13,12:59:18,+07,0,220,33.8,24.7,False,N/A
2026-01-13,12:59:20,+07,0,220,80.0,33.7,True,N/A
2026-01-13,12:59:20,+07,0,220,33.7,24.8,False,N/A
2026-01-13,12:59:22,+07,0,220,33.7,33.7,True,N/A
2026-01-13,12:59:22,+07,0,220,24.8,33.7,True,N/A
2026-01-13,12:59:24,+07,0,220,80.0,33.8,True,N/A
2026-01-13,12:59:24,+07,0,220,33.8,24.8,False,N/A
2026-01-13,12:59:26,+07,0,220,33.8,24.8,False,N/A
2026-01-13,12:59:26,+07,0,220,80.0,33.8,True,N/A
2026-01-13,12:59:28,+07,0,220,80.0,33.8,True,N/A
2026-01-13,12:59:28,+07,0,220,80.0,33.8,True,N/A
2026-01-13,12:59:30,+07,0,220,80.0,33.8,True,N/A
2026-01-13,12:59:30,+07,0,220,40.0,33.8,True,N/A
2026-01-13,12:59:32,+07,0,220,40.0,33.8,True,N/A
2026-01-13,12:59:32,+07,0,220,33.6,33.6,True,N/A
2026-01-13,12:59:34,+07,0,220,40.0,33.6,True,N/A
2026-01-13,12:59:34,+07,0,220,33.5,33.5,True,N/A
2026-01-13,12:59:36,+07,0,220,33.5,33.5,True,N/A
2026-01-13,12:59:36,+07,0,220,25.3,33.5,True,N/A
2026-01-13,12:59:38,+07,0,220,25.3,40.0,True,N/A
2026-01-13,12:59:38,+07,0,220,25.3,40.0,True,N/A
2026-01-13,12:59:40,+07,0,220,40.0,33.4,True,N/A
2026-01-13,12:59:40,+07,0,220,33.4,25.4,False,N/A
2026-01-13,12:59:42,+07,0,220,33.5,25.4,False,N/A
2026-01-13,12:59:42,+07,0,220,25.3,33.5,True,N/A
2026-01-13,12:59:44,+07,0,220,33.5,33.5,True,N/A
2026-01-13,12:59:44,+07,0,220,25.3,33.5,True,N/A
2026-01-13,12:59:46,+07,0,220,33.5,25.2,False,N/A
2026-01-13,12:59:46,+07,0,220,33.5,33.5,True,N/A
2026-01-13,12:59:48,+07,0,220,80.0,33.3,True,N/A
2026-01-13,12:59:48,+07,0,220,33.3,33.3,True,N/A
2026-01-13,12:59:50,+07,0,220,40.0,33.4,True,N/A
2026-01-13,12:59:50,+07,0,220,25.2,33.4,True,N/A
2026-01-13,12:59:52,+07,0,220,40.0,33.3,True,N/A
2026-01-13,12:59:52,+07,0,220,33.3,33.3,True,N/A
2026-01-13,12:59:54,+07,0,220,33.3,33.3,True,N/A
2026-01-13,12:59:54,+07,0,220,40.0,33.3,True,N/A
2026-01-13,12:59:56,+07,0,220,40.0,33.3,True,N/A
2026-01-13,12:59:56,+07,0,220,40.0,33.2,True,N/A
2026-01-13,12:59:58,+07,0,220,40.0,33.2,True,N/A
2026-01-13,12:59:58,+07,0,220,40.0,33.2,True,N/A
2026-01-13,13:00:01,+07,1,220,40.0,33.1,True,N/A
2026-01-13,13:00:03,+07,1,220,40.0,33.2,True,N/A
2026-01-13,13:00:05,+07,1,220,40.0,33.2,True,N/A
2026-01-13,13:00:07,+07,1,220,33.3,25.2,False,N/A
2026-01-13,13:00:09,+07,1,220,40.0,33.3,True,N/A
2026-01-13,13:00:11,+07,1,220,33.3,25.3,False,N/A
2026-01-13,13:00:13,+07,1,220,40.0,33.1,True,N/A
2026-01-13,13:00:15,+07,1,220,33.1,25.3,False,N/A
2026-01-13,13:00:17,+07,1,220,40.0,33.1,True,N/A
2026-01-13,13:00:19,+07,1,220,40.0,33.1,True,N/A
2026-01-13,13:00:22,+07,1,220,80.0,33.1,True,N/A
2026-01-13,13:00:24,+07,1,220,80.0,33.1,True,N/A
2026-01-13,13:00:26,+07,1,220,33.2,25.2,False,N/A
2026-01-13,13:00:28,+07,1,220,33.3,25.3,False,N/A
2026-01-13,13:00:30,+07,1,220,33.3,25.3,False,N/A
2026-01-13,13:00:32,+07,1,220,40.0,25.3,False,N/A
2026-01-13,13:00:34,+07,1,220,33.2,25.3,False,N/A
2026-01-13,13:00:36,+07,1,220,25.4,25.3,False,N/A
2026-01-13,13:00:38,+07,0,220,25.4,33.2,True,N/A
2026-01-13,13:00:40,+07,0,220,33.1,25.3,False,N/A
2026-01-13,13:00:42,+07,0,220,33.1,25.4,False,N/A
2026-01-13,13:00:44,+07,0,220,80.0,33.1,True,N/A
2026-01-13,13:00:46,+07,0,220,80.0,33.0,True,N/A
2026-01-13,13:00:48,+07,0,220,80.0,33.0,True,N/A
2026-01-13,13:00:50,+07,0,220,80.0,33.0,True,N/A
2026-01-13,13:00:52,+07,0,220,33.0,25.3,False,N/A
2026-01-13,13:00:54,+07,0,220,40.0,25.3,False,N/A
